BenutzerID;Typ;QuesID;Method;Answered;Sort;Impact;Occurrence;X1pct;Y1pct;X2pct;Y2pct;Duration
529;Chance;287;classic;ja;32;5;5;;;;;14
529;Chance;288;classic;ja;33;4;4;;;;;13
529;Risiko;289;classic;ja;34;4;3;;;;;18
529;Chance;290;classic;ja;35;5;5;;;;;7
529;Chance;291;classic;ja;36;2;3;;;;;9
529;Chance;292;classic;ja;37;4;4;;;;;9
529;Chance;293;classic;ja;38;5;5;;;;;11
529;Chance;294;classic;ja;39;5;5;;;;;10
529;Risiko;295;classic;ja;40;4;4;;;;;8
529;Risiko;296;classic;ja;41;4;3;;;;;13
529;Risiko;320;classic;ja;42;5;4;;;;;13
529;Risiko;321;classic;ja;43;5;3;;;;;11
529;Risiko;299;classic;ja;44;4;2;;;;;14
529;Risiko;300;classic;ja;45;4;2;;;;;10
529;Risiko;301;classic;ja;46;4;2;;;;;14
529;Risiko;302;classic;ja;47;2;2;;;;;8
529;Risiko;303;classic;ja;48;4;3;;;;;10
529;Risiko;304;classic;ja;49;3;4;;;;;12
529;Risiko;305;classic;ja;50;5;1;;;;;14
529;Risiko;306;classic;ja;51;5;4;;;;;21
529;Risiko;307;classic;ja;52;5;3;;;;;6
529;Risiko;308;classic;ja;53;3;3;;;;;11
529;Chance;309;classic;ja;54;5;4;;;;;12
529;Risiko;310;classic;ja;55;4;1;;;;;10
529;Risiko;311;classic;ja;56;4;3;;;;;10
529;Risiko;312;classic;ja;57;4;2;;;;;11
529;Risiko;313;classic;ja;58;5;3;;;;;14
529;Risiko;314;classic;ja;59;4;3;;;;;14
529;Risiko;315;classic;ja;60;3;3;;;;;10
529;Risiko;316;classic;ja;61;5;2;;;;;17
529;Chance;317;classic;ja;62;5;5;;;;;6
529;Risiko;318;classic;ja;63;3;3;;;;;12
529;Chance;319;classic;ja;64;5;5;;;;;11
529;Chance;322;classic;ja;65;5;5;;;;;6
529;Chance;323;classic;ja;66;4;4;;;;;11
529;Risiko;324;classic;nein;67;;;;;;;12
529;Risiko;340;classic;ja;68;3;3;;;;;11
529;Risiko;341;classic;nein;69;;;;;;;6
529;Risiko;342;classic;nein;70;;;;;;;8
